1773	no	ADV	_	ADV	_	_
1424	más	ADV	_	ADV	_	_
717	también	ADV	_	ADV	_	_
572	muy	ADV	_	ADV	_	_
460	donde	ADV	_	ADV	_	_
423	ya	ADV	_	ADV	_	_
337	además	ADV	_	ADV	_	_
317	así	ADV	_	ADV	_	_
298	después	ADV	_	ADV	_	_
215	sólo	ADV	_	ADV	_	_
206	bien	ADV	_	ADV	_	_
181	antes	ADV	_	ADV	_	_
160	luego	ADV	_	ADV	_	_
158	entonces	ADV	_	ADV	_	_
144	menos	ADV	_	ADV	_	_
134	solo	ADV	_	ADV	_	_
132	hoy	ADV	_	ADV	_	_
128	siempre	ADV	_	ADV	_	_
128	ahora	ADV	_	ADV	_	_
123	dentro	ADV	_	ADV	_	_
118	casi	ADV	_	ADV	_	_
113	tan	ADV	_	ADV	_	_
105	tarde	ADV	_	ADV	_	_
95	cerca	ADV	_	ADV	_	_
91	nunca	ADV	_	ADV	_	_
90	aún	ADV	_	ADV	_	_
87	incluso	ADV	_	ADV	_	_
85	allí	ADV	_	ADV	_	_
74	alrededor	ADV	_	ADV	_	_
69	junto	ADV	_	ADV	_	_
63	mas	ADV	_	ADV	_	_
61	como	ADV	_	ADV	_	_
59	mientras	ADV	_	ADV	_	_
59	fuera	ADV	_	ADV	_	_
57	todavía	ADV	_	ADV	_	_
50	cómo	ADV	_	ADV	_	_
45	cuanto	ADV	_	ADV	_	_
44	poco	ADV	_	ADV	_	_
42	asimismo	ADV	_	ADV	_	_
41	cuando	ADV	_	ADV	_	_
41	ayer	ADV	_	ADV	_	_
38	pronto	ADV	_	ADV	_	_
36	sí	ADV	_	ADV	_	_
36	mal	ADV	_	ADV	_	_
36	aquí	ADV	_	ADV	_	_
35	debajo	ADV	_	ADV	_	_
34	encima	ADV	_	ADV	_	_
30	ahí	ADV	_	ADV	_	_
29	tampoco	ADV	_	ADV	_	_
29	mejor	ADV	_	ADV	_	_
29	detrás	ADV	_	ADV	_	_
27	tanto	ADV	_	ADV	_	_
27	hasta	ADV	_	ADV	_	_
26	tal	ADV	_	ADV	_	_
23	primero	ADV	_	ADV	_	_
23	apenas	ADV	_	ADV	_	_
22	allá	ADV	_	ADV	_	_
21	recién	ADV	_	ADV	_	_
21	dónde	ADV	_	ADV	_	_
20	mucho	ADV	_	ADV	_	_
